id,name,family
130,CreateStep,Step
175,DeleteStep,Step
179,ImportStepsFromPDF,Step
219,MergeRunStep,Step
220,MergeRunStepToProcedure,Step
177,ReorderSteps,Step
173,StepDataGridOperations,Step
144,UpdateStep,Step
400,CreateStepApproval,StepApproval
399,UpdateStepApproval,StepApproval
403,CreateStepApprovalRequest,StepApprovalRequest
401,DeleteStepApprovalRequest,StepApprovalRequest
402,UpdateStepApprovalRequest,StepApprovalRequest
185,UpdateStepAttribute,StepAttribute
218,CopyField,StepField
180,CreateStepField,StepField
182,DeleteStepField,StepField
183,ReorderStepFields,StepField
181,UpdateStepField,StepField
406,CreateStepFieldValidation,StepFieldValidation
404,DeleteStepFieldValidation,StepFieldValidation
405,UpdateStepFieldValidation,StepFieldValidation
398,CreateStepEdge,StepsEdge
407,DeleteStepEdge,StepsEdge
142,CreateSupplier,Supplier
408,DeleteSupplier,Supplier
156,UpdateSupplier,Supplier
247,UpdateSupplierAttribute,SupplierAttribute
205,AddUserToTeam,Team
207,AttachRoleToTeam,Team
410,CreateTeam,Team
204,DeleteTeam,Team
208,DetachRoleFromTeam,Team
206,RemoveUserFromTeam,Team
409,UpdateTeam,Team
413,CreateUnitOfMeasurement,UnitOfMeasurement
411,DeleteUnitOfMeasurement,UnitOfMeasurement
412,UpdateUnitOfMeasurement,UnitOfMeasurement
201,AttachRoleToUser,User
202,DetachRoleFromUser,User
414,UpdateUser,User
415,UpdateUserNotification,UserNotification
216,CreateUserSubscription,UserSubscription
416,DeleteUserSubscription,UserSubscription
419,CreateWebhookHeader,WebhookHeader
417,DeleteWebhookHeader,WebhookHeader
418,UpdateWebhookHeader,WebhookHeader
232,AddHeaderToWebhookReceiver,WebhookReceiver
422,CreateWebhookReceiver,WebhookReceiver
420,DeleteWebhookReceiver,WebhookReceiver
233,RemoveHeaderFromWebhookReceiver,WebhookReceiver
421,UpdateWebhookReceiver,WebhookReceiver
425,CreateWebhookSubscription,WebhookSubscription
423,DeleteWebhookSubscription,WebhookSubscription
424,UpdateWebhookSubscription,WebhookSubscription
